,TEMA,TÍTULO,CONTENIDO,ENLACE,IMAGEN,FECHA
411,Apotegmas,,"Tenías la costumbre de negociar con el Diablo, por eso crees que se puede negociar con Dios.",,,2025-04-04 10:04
410,Diario,,"Hay una nueva sección o tema en el sitio: <b>Traducciones</b>. En ella se incluyen versiones de nivel literario, con ciertas variantes y alternativas en las equivalencias, como práctica compartida con quienes quieran pulir ciertos detalles en su aprendizaje y manejo de la lengua inglesa. La considero de utilidad e interés.",,,2025-04-03 12:28
409,Traducciones,,"The river curled through the valley like a ribbon of liquid silver, its surface shimmering under the twilight. Willow trees bent low, their leaves brushing the water as if sharing old confidences. A lone heron stood motionless on the bank, a sentinel of the fading day. Somewhere in the distance, the murmur of rapids whispered of journeys yet to come. The air smelled of wet stone and possibility. ¶ El río serpenteaba por el valle como una cinta de plata líquida, brillando su superficie bajo la penumbra. Los sauces se inclinaban, rozando el agua con sus hojas como si compartieran viejas confidencias. Una garza solitaria permanecía inmóvil en la orilla, sentinela del día que se difuminaba/desvanecía. En algún lugar a lo lejos, el murmullo de los rápidos susurraba de viajes por venir. El aire olía a piedra húmeda y posibilidad.",,,2025-04-03 12:27
408,Traducciones,,"The old house stood at the edge of the village, its weathered timbers whispering secrets of the past. Ivy clung to the walls like a persistent memory, while the scent of damp earth lingered in the air. Inside, sunlight filtered through cracked windows, painting golden streaks on the dusty floor. Every creak of the floorboards seemed to echo with the laughter and tears of those who had once called it home. Time had softened its edges, but the house remained, a silent witness to forgotten stories. ¶ La vieja casa se levantaba/alzaba/erguía en los límites/afueras del pueblo, con sus tablones curtidos susurrando secretos de antaño. La hiedra se aferraba a las paredes como un recuerdo persistente, mientras el aroma a tierra húmeda flotaba/permanecía en el aire. Dentro, la luz del sol se filtraba a través de las ventanas resquebrajadas, pintando/dibujando trazos dorados en el polvoriento piso. Todo crujido del piso de madera parecían repetir las risas y las lágrimas de quienes alguna vez la habían llamado hogar. El tiempo había suavizado sus esquinas, pero la casa perduraba / pero la casa seguía allí, testigo silencioso de historias olvidadas.",,,2025-04-03 12:26
407,Traducciones,,"The autumn woods were a tapestry of fire and gold, where every step stirred the crisp leaves into whispered conversations. Shadows lengthened between the trees, stretching like drowsy cats. A chill wind carried the scent of woodsmoke from some distant hearth, a promise of warmth just beyond reach. Time here moved differently—slower, as if the world itself had paused to listen to the quiet symphony of falling leaves. ¶ Los bosques de otoño eran un tapiz de fuego y oro, donde cada paso provocaba/despertaba conversaciones susurradas entre las hojas crujientes. Las sombras se extendían entre los árboles, estirándose cual gatos soñolientos. Un viento helado traía el aroma de leños quemándose en alguna chimenea distante/lejana, promesa de calidez apenas alcanzable. Allí, el tiempo avanzaba/fluía de forma diferente, más lento, como si el mundo mismo se hubiera detenido a escuchar la callada/tranquila sinfonía de las hojas al caer.",,,2025-04-03 12:25
406,Diario,,"Incluí el tema <b>Frases</b> en el menú principal. Al clicar en él, se muestran frases diversas traducidas al español, con ciertas notas gramaticales. A la fecha de esta entrada, las frases incluidas son solamente del chino.",,,2025-04-02 11:59
405,Frases chinas,我的妹妹也是學生。,CT. 我的妹妹也是學生。 ¦ CS. 我的妹妹也是学生。 ¦ PY. Wǒ de mèimei yě shì xuéshēng. ¦ TR. Mi hermana menor también es estudiante. ¶ a. 我 (我) [wo3] mi ¦ b. 的 (的) [de5] (partícula posesiva) ¦ c. 妹妹 (妹妹) [mei4 mei5] hermana menor ¦ d. 也 (也) [ye3] también ¦ e. 是 (是) [shi4] ser ¦ f. 學生 (学生) [xue2 sheng1] estudiante,,,2025-04-02 11:58
404,Frases chinas,我不是學生。,CT. 我不是學生。 ¦ CS. 我不是学生。 ¦ PY. Wǒ bú shì xuéshēng. ¦ TR. Yo no soy estudiante. ¶ a. 我 (我) [wo3] yo ¦ b. 不 (不) [bu4] no ¦ c. 是 (是) [shi4] ser ¦ d. 學生 (学生) [xue2 sheng1] estudiante ¶ NG. La negación 不 [bù] cambia a segundo tono [bú] por preceder a una sílaba en cuarto tono [shì].,,,2025-04-02 11:55
403,Frases chinas,你們是學生嗎？,CT. 你們是學生嗎？ ¦ CS. 你们是学生吗？ ¦ PY. Nǐmen shì xuéshēng ma? ¦ TR. ¿Sois (todos) estudiantes? ¶ a. 你們 (你们) [ni3 men5] vosotros ¦ b. 是 (是) (shì) ser ¦ c. 學生 (学生) [xue2 sheng4] estudiante ¦ d. 嗎 (吗) [ma5] (partícula para formar preguntas) ¶ NG. La partícula 嗎 (吗) [ma] se usa al final de las oraciones para convertirlas en pregunta.,,,2025-04-02 11:52
402,Frases chinas,他是好學生。,CT. 他是好學生。 ¦ CS. 他是好学生。 ¦ PY. Tā shì hǎo xuéshēng. ¦ TR. Él es un buen estudiante. ¶ a. 他 (他) [ta1] él ¦ b. 是 (是) [shi4] ser ¦ c. 好 (好) [hao3] bueno ¦ d. 學生 (学生) [xue2 sheng1] estudiante,,,2025-04-02 11:49
401,Frases chinas,這個陶器是手工製作的。,"CT. 這個陶器是手工製作的。 ¦ CS. 这个陶器是手工制作的。 ¦ PY. Zhègè táoqì shì shǒugōng zhìzuò de. ¦ TR. Esta cerámica está hecha a mano. ¶ a. 這 (这) [zhe4] esto, esta ¦ b. 個 (个) [ge5] (clasificador general) ¦ c. 陶器 (陶器) [tao2 qi4] cerámica ¦ d. 是 (是) [shi4] ser; estar ¦ e. 手工 (手工) [shou3 gong1] a mano; manualmente ¦ f. 製作 (制作) [zhi4 zuo4] manufacturar; hacer ¦ g. 的 (的) [de5] (partícula modificadora, para construir adjetivos)",,,2025-04-01 18:32
400,Vocabulario multilingüe,a mano [loc.] (manualmente),AL. von Hand [loc.] ¦ AL. manuell [adv.] ¦ CH. 手工 (手工) [shou3 gong1] ¦ CH. 用手 (用手) [yong4 shou3] ¦ FR. à la main [loc.] ¦ FR. manuellement [adv.] ¦ IN. by hand [loc.] ¦ IN. manually [adv.] ¦ IT. a mano [loc.] ¦ IT. manualmente [adv.],,,2025-04-01 11:12
399,Vocabulario inglés-español,by hand [loc.],"by hand [loc.] a mano ¶ The crops were still picked by hand, bent backs and calloused fingers working sunup to sundown, for no machine could replace them yet. – The Grapes of Wrath; by John Steinbeck ¶ The harpoon ropes were coiled by hand, each loop laid with precision, for a single tangle could mean death in the hunt. – Moby-Dick; by Herman Melville ¶ The invitations were all written by hand, in the finest script, for no printed card could convey the same elegance or personal attention. – Emma; by Jane Austen ¶ Beth’s music was copied by hand with such care that each note looked as though it had been penned with love, and indeed it had. – Little Women; by Louisa May Alcott ¶ He was a dusty miller, owner of a dusty mill, and lived in a dusty house, and his work was all done by hand—a good honest trade, but not a very profitable one. – Great Expectations; by Charles Dickens ¶ The old man made his shoes by hand, stitching each sole with waxed thread, and there wasn’t a machine-made pair in the whole village that could compare. - The Adventures of Tom Sawyer; by Mark Twain ¶ My grandmother still makes her famous pie crust by hand, refusing to use a food processor. She says that kneading the dough by hand gives it the perfect texture and allows her to feel when it’s just right. The result is always flaky, buttery, and absolutely delicious. - DeepSeek ¶ The wooden furniture in this shop is carved entirely by hand, ensuring every piece is unique. The craftsman spends hours sanding and shaping the wood without power tools, preserving traditional techniques. This attention to detail makes each item a true work of art. – DeepSeek ¶ In today’s digital age, receiving a letter written by hand feels incredibly special. The slight imperfections in the handwriting, the ink smudges, and the personal touch all make it more meaningful than a typed message. It’s a reminder of the care put into every word. – DeepSeek",,,2025-03-31 22:26
398,Vocabulario inglés-español,at the request of [loc.],"at the request of [loc.] a petición de; a pedido de; a solicitud de ¶ At the request of the event organizers, the keynote speaker agreed to extend her presentation by an additional 30 minutes. – DeepSeek ¶ The museum decided to extend its opening hours at the request of local visitors, who wanted more time to explore the new exhibit. – DeepSeek ¶ The chef prepared a special vegan menu at the request of several guests attending the wedding. Though it wasn’t originally planned, the dishes were so well-received that the catering company later added them to their standard offerings. – DeepSeek ¶ At the request of security officials, all attendees at the conference were required to present identification before entering the venue. – DeepSeek",,,2025-03-31 22:16
397,Diario,,"Agregué la opción <b>Más</b> al menú principal, con la que se muestra una lista completa de los temas o etiquetas del sitio. A su vez, ahora las etiquetas debajo de los subtítulos muestran al clicarlas una lista alfabética de todas las entradas correspondientes, con la excepción de <b>Citas</b>, que muestra una lista cronológica.",,,2025-03-31 13:34
396,Citas,,"This above all: to thine own self be true, ¦ And it must follow, as the night the day, ¦ Thou canst not then be false to any man. ¦ – William Shakespeare",,,2025-03-30 22:23
395,Citas,,"The fool doth think he is wise, but the wise man knows himself to be a fool. – William Shakespeare",,,2025-03-30 22:18
394,Reflexiones,,Las aves son enseñadas a cantar por las copas de los árboles.,,,2025-03-29 12:27
393,Citas,,No se puede alimentar hambrientos con estadísticas. – David Lloyd George,,,2025-03-29 12:17
392,Citas,,"El asesinato en el cadalso es la forma más execrable de asesinato, por estar sancionado por la aprobación de la sociedad. – George Bernard Shaw",,,2025-03-29 12:13
391,Citas,,El hombre muere en todos aquellos que mantienen silencio ante la tiranía. – Wole Soyinka,,,2025-03-29 12:09
390,Citas,,"Reza, pero no dejes de remar hacia la orilla. – Proverbio ruso",,,2025-03-29 12:06
389,Citas,,Lo malo de la caridad es que no tiene fondo. – Manuel Viola,,,2025-03-29 11:55
388,Reflexiones,,"Desde que el hombre existe, ha imaginado formas y conceptos de Dios lo peor o mejor que ha podido. O mejor dicho, el hombre ha empezado a existir por imaginar y concebir un dios, y nunca volverá a la Verdad hasta que su concepción sea la correcta o hasta que deje de imaginar uno.",,,2025-03-29 11:27
387,Reflexiones,,"Si de niño te convirtieron en un demonio que se alimenta y subsiste del emocionalismo propio y ajeno, ahora que has pasado los treinta tienes la capacidad de recuperarte y convertirte nuevamente en un ser humano.",,,2025-03-28 20:46
386,Cuentos,,"Demonios japoneses entran en mujeres occidentales de veintitrés años a través de vídeos cortos en la internet y estas empiezan a hablar como adolescentes de trece. En consecuencia, el gobierno emprende un plan de exorcización para desinfantilizarlas, de modo que finalmente tengan hijos. No dio resultado y el crecimiento poblacional sigue en declive.",,,2025-03-28 20:42
385,Apotegmas,,¿Quieres paz? Prepárate para la guerra.,,,2025-03-28 20:41
384,Diario,,"Quitaré del sitio todas las entradas de enlaces, porque ya están en el sitio <code>enlcs.github.io</code>. A partir de ahora, solamente incluiré lo que yo escribo, con excepción de la sección de <b>Citas</b>.",,,2025-03-27 11:50
383,Apotegmas,,"Siempre hay un buen justificativo para iniciar una nueva inquisición, una persecución en cadena, una depuración ideológica de la sociedad.",,,2025-03-27 11:46
382,Reflexiones,,"Una de las razones por las que el panteísmo es rechazado, es que sólo Dios puede ser adorado, y no lo que existe. La objeción no es válida, porque no discute previamente si Dios tiene o no que ser adorado.",,,2025-03-27 11:29
381,Apotegmas,,"Si no encuentras a Dios en el mundo, en el prójimo y en tu corazón, seguirás igual de insatisfecho aunque vayas al último de los cielos.",,,2025-03-27 11:22
380,Apotegmas,,"Así como el Sol no tiene más remedio que salir hoy y mañana, la luz del Altísimo brillará si sólo quitas la persiana.",,,2025-03-26 22:02
379,Apotegmas,,"Dios corre un gran riesgo al darte la capacidad de buscar y encontrar la verdad, porque podrías usarla para estropear la realidad; pero te la da igual, por amor, porque no hay otra forma de que vuelvas a él.",,,2025-03-26 22:00
378,Apotegmas,,"El camino a la Verdad siempre es individual, no porque la verdad sea subjetiva o relativa, tampoco porque otros puedan o no acompañarnos en el andar, sino porque debe ser experimentada personalmente, cara a cara.",,,2025-03-25 11:11
377,Apotegmas,,"Olvídalo todo y déjate llevar por Dios. Sólo así encontrarás paz, sólo así entenderás la realidad.",,,2025-03-25 07:39
376,Apotegmas,,Sólo los tontos son convencidos por los inteligentes.,,,2025-03-25 07:35
375,Poesía,Lo que soy,"La arena que pisan tus pies ¦ La dicha del sol al alumbrarte ¦ La brisa a tiempo en verano ¦ El ocre de las hojas al caer, ¦ Eso soy yo.",,,2025-03-25 07:32
374,Reflexiones,,"Si solamente recordaras que el mundo siempre ha sido un reino y que hay quienes quieren someterlo para ofrecerlo en sacrificio a su dios, difícilmente olvidarías que la libertad es algo que se debe buscar.",,,2025-03-25 07:29
373,Reflexiones,,Es increíble la cantidad de personas que están dispuestas a morir por las doctrinas e ideologías que alguien más les ha inoculado en la calabaza.,,,2025-03-25 07:27
372,Cuentos,Desamorada,"Casi calcinada por el sol de mediodía, la vampiresa tuvo unas fracciones de segundo en las que recordar todos los sacrificios de fetos que había inculcado con el fin de satisfacer de sangre a su dios; pero no supo cómo arrepentirse, porque nunca nadie la había amado.",,,2025-03-25 07:24
371,Apotegmas,,"Por más correcta que sea tu teología, nunca será Dios.",,,2025-03-25 07:15
370,Reflexiones,,"No dejes que nadie te diga cómo pensar; como ahora, que te estoy diciendo cómo pensar.",,,2025-03-25 07:05
369,Reflexiones,,"Recuerda que Dios es pequeño, que nace entre lo más humilde, que por naturaleza no va detrás de lo encumbrado y soberbio. Los delirios de grandeza no vienen de un buen lugar y fueron forjados por quienes se rebelan contra él para suplantar su nombre entre quienes lo han olvidado.",,,2025-03-24 12:01
368,Apotegmas,,"Dios es tan pequeñito que está en todas partes a la vez, manifestándolo todo, entendiéndolo todo, alumbrándolo todo, pasando desapercibido y sirviendo a los demás. Los delirios de grandeza son propios de los hombres.",,,2025-03-24 11:45
367,Apotegmas,,"La realidad es de naturaleza mítica: tómala muy en serio, porque puede atraparte.",,,2025-03-24 11:37
366,Reflexiones,,"Hay mucha gente que, antes que afrontar el vacío de su corazón, prefieren al menos sentir odio por lo que sea.",,,2025-03-24 10:42
365,Citas,,"La palabra es libre; la acción, muda; la obediencia, ciega. – Johann Christoph Friedrich von Schiller",,,2025-03-24 10:28
364,Citas,,"La sabiduría me persigue, pero yo soy más rápido. – Anónimo",,,2025-03-24 10:26
363,Citas,,La historia se escribe con letras muy retorcidas. – Antonio de Senillosa,,,2025-03-24 10:25
362,Citas,,La lucha por el saber produce tanto placer como el combate con una bella mujer. – George Savile,,,2025-03-24 10:22
361,Citas,,"Amo la traición, pero odio al traidor. – Cayo Julio César",,,2025-03-24 10:20
360,Citas,,El pensamiento es la semilla de la acción. – Ralph Waldo Emerson,,,2025-03-24 10:16
359,Citas,,El hombre está condenado a ser libre. – Jean-Paul Sartre,,,2025-03-24 10:14
358,Citas,,"Si tu mal tiene remedio, ¿por qué te afliges? Si no lo tiene, ¿por qué te afliges? – Proverbio inglés",,,2025-03-24 10:08
357,Citas,,"El ruido de un beso no es tan retumbante como el de un cañón, pero su eco dura mucho más. – Oliver Wendell Holmes",,,2025-03-24 10:06
356,Citas,,"En el mundo común de los hechos, los malos no son castigados y los buenos recompensados. El éxito se lo llevan los fuertes y el fracaso los débiles. Eso es todo. – Oscar Wilde",,,2025-03-24 10:04
355,Apotegmas,,"Si la vida te da limones, véndelos.",,,2025-03-24 10:00
354,Citas,,Hay algunos hombres que no dicen lo que piensan y otros que piensan demasiado lo que dicen. – Mariano José de Larra,,,2025-03-24 09:57
353,Apotegmas,,"Si tienes una mejor amiga y con el tiempo no le has dado al menos un hijo, en realidad no es tu mejor amiga.",,,2025-03-24 09:56
352,Citas,,La verdad es un ácido corrosivo que salpica casi siempre al que la maneja. – Santiago Ramón y Cajal,,,2025-03-24 09:37
351,Apotegmas,,La realidad tiene tanto sentido que se hace inaceptable.,,,2025-03-24 09:33
350,Citas,,"Luego que has soltado la palabra, ésta te domina. Pero mientras no la has soltado eres su dominador. – Proverbio árabe",,,2025-03-24 09:32
349,Apotegmas,,El relativismo es el dogma de los hipócritas.,,,2025-03-24 09:26
348,Citas,,El corazón es un niño: espera lo que desea. – Proverbio turco,,,2025-03-24 09:21
347,Apotegmas,,No pidas nada y lo tendrás todo.,,,2025-03-23 23:14
346,Reflexiones,,"Bienvenidos al totalitarismo progresista, donde todo lo nuevo es bueno por ser nuevo y todo lo tradicional es malo por ser tradicional. A disfrutar.",,,2025-03-23 23:11
345,Reflexiones,,"Degrademos a la gente para que sientan que el orden es opresión. Una vez que se revelen contra esa opresión y contra todo lo que es bueno, mostrémonos como los adalides de un nuevo orden.",,,2025-03-23 23:06
344,Apotegmas,,El mundo ha sido siempre un Reino y lo seguirá siendo. Lo que queda por hacer es decidir a quién y a qué vas a servir.,,,2025-03-23 13:42
343,Apotegmas,,"La más alta aspiración del raciocinio es despertar a la fe, y la de la fe es recibir revelación.",,,2025-03-23 13:40
342,Frases chinas,這是你的書，對吧？,"CT. 這是你的書，對吧？ ¦ CS. 这是你的书，对吧？ ¦ PY. Zhè shì nǐ de shū, duì ba? ¦ TR. Este es tu libro, ¿verdad? ¶ a. 這 (这) [zhe4] esta, este (demostrativo) ¦ b. 是 (是) [shi4] ser ¦ c. 你 (你) [ni3] tú ¦ d. 的 (的) [de5] (partícula para indicar posesión) ¦ e. 書 (书) [shu1] libro ¦ f. 對 (对) [dui4] cierto, correcto ¦ g. 吧 (吧) [ba5] (partícula para formar preguntas confirmativas)",,,2025-03-22 09:13
341,Citas,,"En muchas empresas para alcanzar la gloria no importa vencer, basta combatir. – Carlo Dossi",,,2025-03-21 22:12
340,Citas,,La mayoría de las personas prefieren confesar los pecados de los demás. – Graham Greene,,,2025-03-21 22:10
339,Citas,,"Los altavoces refuerzan la voz, pero no los argumentos. – Hans Kaspar",,,2025-03-21 22:09
338,Reflexiones,,¿El buen hábito de amar a unos pocos y despreciar al resto?,,,2025-03-21 21:49
337,Reflexiones,,"Si buscas a Dios hacia fuera corres el riesgo de crear un falso dios, y si lo buscas hacia dentro el de pensar que eres Dios. ¿Qué queda entonces?",,,2025-03-21 21:46
336,Frases chinas,這棵樹綠。,"CT. 這棵樹綠。 ¦ CS. 这棵树绿。 ¦ PY. Zhè kē shù lǜ. ¦ TR. Este árbol es verde. ¶ a. 這 (这) [zhe4] esto, esta, este ¦ b. 棵 (棵) [ke1] (clasificador para árboles y plantas) ¦ c. 樹 (树) [shu4] árbol ¦ d. 綠 (绿) [lv4] verde",,,2025-03-21 09:19
335,Apotegmas,,"Si crees que eres bueno y que tienes razón sólo porque te persiguen, pronto empezarás a perseguir a los demás.",,,2025-03-20 23:35
334,Reflexiones,,La ignorancia se convierte en una bendición cuando el relato oficial ha quedado reducido a ideologías y partidismos.,,,2025-03-20 22:00
333,Diario,,Se agregó la línea necesaria al documento de estilos del sitio para evitar el desplazamiento horizontal de la página cuando es visitada en pantallas pequeñas de celulares: <code>@media only screen and (max-device-width: 480px) { body { overflow-x: hidden; } }</code>.,,,2025-03-20 15:29
332,Reflexiones,,"Los deseos quedan satisfechos únicamente cuando encuentran su verdadero objeto. En otras palabras, los humanos desconocemos adrede el verdadero objeto de nuestro deseo para poder continuar buscando placeres ilusorios, temporales y pasajeros.",,,2025-03-20 09:01
331,Citas,,"El hombre que tiene miedo sin peligro, inventa el peligro para justificar su miedo. – Alain Emile Chartier",,,2025-03-19 22:33
330,Citas,,"¿Qué importa si el gato es blanco o negro, con tal de que case ratones? – Den Xiaoping",,,2025-03-19 22:31
329,Diario,,"Acabo de aumentar la distancia entre las líneas de texto de la página, para mejorar la lectura y la presentación. Esto se hace con la siguiente línea de CSS: <code>line-height: 1.3;</code>. El resto de propiedades puede verse en <a class='enlacista' href='https://jucardus.github.io/styles.css' target='_blank'>./styles.css</a>.",,,2025-03-19 20:16
328,Apotegmas,,Nunca dejes que llegue al poder alguien que se desprecia a sí mismo.,,,2025-03-19 19:44
327,Citas,,La enfermedad del ignorante es ignorar su propia ignorancia. – Amos Bronson Alcott,,,2025-03-19 09:52
326,Apotegmas,,Nunca nadie ha ganado una batalla sin antes desayunar.,,,2025-03-19 09:12
325,Vocabulario inglés-español,rascal [s.],"rascal [s.] granuja, bribón, bellaco, canalla, pillo; travieso, pícaro",,,2025-03-18 15:06
324,Citas,,"La ausencia disminuye las pequeñas pasiones y aumenta las grandes, lo mismo que el viento apaga las velas y aviva las hogueras. – Duque de la Rochefoucauld",,,2025-03-18 10:52
323,Citas,,Muchos hombres cometen el error de sustituir el conocimiento por la afirmación de que es verdad lo que ellos desean. – Bertrand Russell,,,2025-03-18 10:49
322,Citas,,Existen verdades que pueden matar a un pueblo. – Jean Giraudox,,,2025-03-18 10:47
321,Citas,,Los fanatismos que más debemos temer son aquellos que pueden confundirse con la tolerancia. – Fernando Arrabal,,,2025-03-18 10:44
320,Citas,,Quizá la existencia de una respuesta dependa solamente de que se haga la preguna adecuada. – Robert Duncan,,,2025-03-18 10:42
319,Citas,,"Cada uno es como Dios le hizo, y aun peor muchas veces. – Miguel de Cervantes Saavedra",,,2025-03-18 10:39
318,Citas,,"En el campo de la oservación, la oportunidad sólo favorece a la mente preparada. – Louis Pasteur",,,2025-03-18 10:34
317,Citas,,La fortuna llega en algunos barcos que no son guiados. – William Shakespeare,,,2025-03-18 10:33
316,Reflexiones,,"Algunas religiones están diseñadas para que no conozcas la Luz de Dios, y para que te sometas y adores a quienes dicen tenerla y representarla.",,,2025-03-18 09:39
315,Apotegmas,,"Cuando todo es para todos, no queda nada para nadie.",,,2025-03-18 09:35
